epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
157,168.137,0.72833,1.36357,1.20866,0.86789,0.5,0.95375,0.60535,1.95519,1.64704,2.81513,0.000293943,0.000293943,0.000293943
158,169.047,0.48092,0.99808,0.98371,0.86789,0.5,0.95375,0.60535,1.95519,1.64704,2.81513,0.000290897,0.000290897,0.000290897
159,169.887,0.44833,1.11238,0.95017,0.86789,0.5,0.95375,0.60535,1.95519,1.64704,2.81513,0.000287852,0.000287852,0.000287852
160,170.846,0.37918,1.00995,0.92501,0.86549,0.5,0.95375,0.62848,1.89238,1.62636,2.82081,0.000284807,0.000284807,0.000284807
161,171.805,0.50599,0.92537,0.95818,0.86549,0.5,0.95375,0.62848,1.89238,1.62636,2.82081,0.000281762,0.000281762,0.000281762
162,172.701,0.38553,1.00109,0.94091,0.86549,0.5,0.95375,0.62848,1.89238,1.62636,2.82081,0.000278716,0.000278716,0.000278716
163,173.651,0.56133,1.03864,1.03955,0.86549,0.5,0.95375,0.62848,1.89238,1.62636,2.82081,0.000275671,0.000275671,0.000275671
164,174.574,0.47744,1.01892,0.92506,0.98853,0.5,0.74625,0.43392,1.76959,1.62473,2.66749,0.000272626,0.000272626,0.000272626
165,175.482,0.47063,1.17469,0.91956,0.98853,0.5,0.74625,0.43392,1.76959,1.62473,2.66749,0.000269581,0.000269581,0.000269581
166,176.402,0.43429,0.8683,0.96485,0.98853,0.5,0.74625,0.43392,1.76959,1.62473,2.66749,0.000266535,0.000266535,0.000266535
167,177.312,0.41907,0.86209,0.95231,0.98853,0.5,0.74625,0.43392,1.76959,1.62473,2.66749,0.00026349,0.00026349,0.00026349
168,178.512,0.39538,1.11031,1.0092,0.97621,0.5,0.74625,0.43392,1.77697,1.53458,2.70426,0.000260445,0.000260445,0.000260445
169,179.842,0.56763,1.05168,1.06741,0.97621,0.5,0.74625,0.43392,1.77697,1.53458,2.70426,0.0002574,0.0002574,0.0002574
170,181.165,0.47687,1.26307,0.98112,0.97621,0.5,0.74625,0.43392,1.77697,1.53458,2.70426,0.000254354,0.000254354,0.000254354
171,182.472,0.51777,1.06493,0.99343,0.97621,0.5,0.74625,0.43392,1.77697,1.53458,2.70426,0.000251309,0.000251309,0.000251309
172,183.82,0.45919,1.00991,0.92251,0.97652,0.5,0.74625,0.42912,1.89619,1.45671,2.86967,0.000248264,0.000248264,0.000248264
173,184.887,0.51397,0.94311,0.96355,0.97652,0.5,0.74625,0.42912,1.89619,1.45671,2.86967,0.000245219,0.000245219,0.000245219
174,185.839,0.45591,1.12483,0.97759,0.97652,0.5,0.74625,0.42912,1.89619,1.45671,2.86967,0.000242173,0.000242173,0.000242173
175,186.721,0.38214,1.1808,0.95238,0.97652,0.5,0.74625,0.42912,1.89619,1.45671,2.86967,0.000239128,0.000239128,0.000239128
176,187.628,0.52335,1.08709,1.02326,0.99823,0.5,0.995,0.59321,1.79494,1.56395,2.61093,0.000236083,0.000236083,0.000236083
177,188.522,0.56712,1.02084,0.99328,0.99823,0.5,0.995,0.59321,1.79494,1.56395,2.61093,0.000233038,0.000233038,0.000233038
178,189.411,0.47167,0.98449,0.91546,0.99823,0.5,0.995,0.59321,1.79494,1.56395,2.61093,0.000229993,0.000229993,0.000229993
179,190.279,0.37766,0.99573,0.9114,0.99823,0.5,0.995,0.59321,1.79494,1.56395,2.61093,0.000226947,0.000226947,0.000226947
180,191.147,0.43261,1.01727,0.9165,0.98967,0.5,0.995,0.62067,1.40039,1.62326,2.2303,0.000223902,0.000223902,0.000223902
